,m,acc,λ
0,100,91.84372858122002,λ=1
1,1000,96.57299520219328,λ=1
2,3000,97.12131596984236,λ=1
3,5000,97.1898560657985,λ=1
4,100,91.70664838930774,λ=0.8
5,1000,96.77861549006168,λ=0.8
6,3000,97.1898560657985,λ=0.8
7,5000,97.32693625771076,λ=0.8
8,100,92.32350925291296,λ=0.6
9,1000,96.91569568197396,λ=0.6
10,3000,97.3954763536669,λ=0.6
11,5000,97.6010966415353,λ=0.6
12,100,92.87183002056203,λ=0.3
13,1000,97.1898560657985,λ=0.3
14,3000,97.6010966415353,λ=0.3
15,5000,97.73817683344757,λ=0.3
16,100,93.28307059629883,λ=0.1
17,1000,97.46401644962303,λ=0.1
18,3000,97.73817683344757,λ=0.1
19,5000,98.08087731322824,λ=0.1
20,100,93.76285126799178,λ=0.01
21,1000,97.53255654557917,λ=0.01
22,3000,97.8067169294037,λ=0.01
23,5000,98.28649760109664,λ=0.01
24,100,94.03701165181631,λ=0.001
25,1000,97.1898560657985,λ=0.001
26,3000,98.08087731322824,λ=0.001
27,5000,98.08087731322824,λ=0.001
